,S. No.,Name,Designation,Affiliation,Specialisation,LinkedIn Profile,Column 1
,38,Kirsten Mathieson ,Deputy Director and Policy Lead,Transform Health,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/kirstenmathieson/
,39,Lauren Wall,Senior Program Officer,Gates Foundation,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/lauren-wall-03598517/
,40,Leah Eklabadh,USA Country Lead,Madiro.org,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/leaheklubadh/
,41,Leona Rosenblum,"Deputy Director, Center for Digital Health",JSI,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/leona-rosenblum-32b0057/
,42,Madeleine Ballard (Dr),Co-Founder & CEO,Community Health Impact Coalition,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/madeleine-ballard-a3203816/
,43,Magda Lopes Queta,President,ENDA Sante,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/magda-lopes-queta-464a7815/
,44,Manisha Bhinge,"Vice President, Health",The Rockefeller Foundation,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/manisha-bhinge-5555474/
,45,Marelize Gorgens Prestidge,Evaluation of digital and Al solutions,The World Bank,AI,LinkedIn Profile,https://www.linkedin.com/in/marelize-gorgens-7b3b652/
,46,Mathilde Forslund,Chief Executive Officer,Transform Health,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/mathilde-forslund-5561a310/
,47,Modupe Agueh McCracken,Public Health Advisor,Independent ,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/modupe-agueh-mccracken-4a00501b/
,48,Mou Nandi,Co-Founder & CEO,Monere,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/mounandi/
,49,Nanjira Sambuli,"Senior Advocacy Officer, Africa(Inclusive Financial Systems & Digital Public Infrastracture)",Gates Foundation,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/nanjirasambuli/
,50,Natasha Azzopardi Muscat,Director Health Systems,WHO,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/natasha-azzopardi-muscat-86001a14/
,51,Natasha Sunderji,Managing Director,Accenture,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/natashasunderji/
,52,Neema K. Lugangira,Member of Parliament,Government of Tanzania,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/neemalugangira/
,53,Neha Verma,CEO / Co Founder,Intelehealth,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/neha-verma-9a405625/
,54,Nelly Ale,"Acting Director, Health Workforce Development",Mastercard Foundation,Health workforce,LinkedIn Profile,https://www.linkedin.com/in/nelly-ale-8b656b20/
,55,Nicole Spieker ,Chief Executive Officer,PharmAccess Foundation,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/nicolespieker/
,56,Njide Ndili,Country Director,"PharmAccess, Nigeria",Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/njide-ndili-8495037/
,57,Nnenna Nwakanma,Senior Advisor,Transform Health,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/nnenna/
,58,Ntombifikile Nokwethemba Mtshali (Dr),Chief Executive Officer,Shout-It-Now,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/ntombifikile-nokwethemba-mtshali-9b4b0811/
,59,Olivia Velez,Co-Chair Emeritus/Board Member,Global Digital Health Network,Data science and Health information systems,LinkedIn Profile,https://www.linkedin.com/in/oliviavelez/
